ID	Sample	Library	Platform	PlatformUnit	Center
C4VR0ACXX_RW6_H1	Sample_RW6	SureSelect_XT_Human_All_Exon_V5_plus_UTR	ILLUMINA	C4VR0ACXX.2	NCI-CCRSF
C4VR0ACXX_RW7_H2	Sample_RW7	SureSelect_XT_Human_All_Exon_V5_plus_UTR	ILLUMINA	C4VR0ACXX.2	NCI-CCRSF
C4VR0ACXX_RW8_H3	Sample_RW8	SureSelect_XT_Human_All_Exon_V5_plus_UTR	ILLUMINA	C4VR0ACXX.2	NCI-CCRSF
C4VR0ACXX_RW9_H4	Sample_RW9	SureSelect_XT_Human_All_Exon_V5_plus_UTR	ILLUMINA	C4VR0ACXX.3	NCI-CCRSF
C4VR0ACXX_RW10_H5	Sample_RW10	SureSelect_XT_Human_All_Exon_V5_plus_UTR	ILLUMINA	C4VR0ACXX.3	NCI-CCRSF
C4VR0ACXX_RW11_H6	Sample_RW11	SureSelect_XT_Human_All_Exon_V5_plus_UTR	ILLUMINA	C4VR0ACXX.3	NCI-CCRSF
C4VR0ACXX_RW12_H7	Sample_RW12	SureSelect_XT_Human_All_Exon_V5_plus_UTR	ILLUMINA	C4VR0ACXX.4	NCI-CCRSF
C4VR0ACXX_RW13_H8	Sample_RW13	SureSelect_XT_Human_All_Exon_V5_plus_UTR	ILLUMINA	C4VR0ACXX.4	NCI-CCRSF
C4VR0ACXX_RW14_H9	Sample_RW14	SureSelect_XT_Human_All_Exon_V5_plus_UTR	ILLUMINA	C4VR0ACXX.4	NCI-CCRSF
C4VR0ACXX_RW15_H10	Sample_RW15	SureSelect_XT_Human_All_Exon_V5_plus_UTR	ILLUMINA	C4VR0ACXX.5	NCI-CCRSF
C4VR0ACXX_RW16_H11	Sample_RW16	SureSelect_XT_Human_All_Exon_V5_plus_UTR	ILLUMINA	C4VR0ACXX.5	NCI-CCRSF
tcga.MH38	Sample_RW16	SureSelect_XT_Human_All_Exon_V5_plus_UTR	ILLUMINA	C4VR0ACXX.5	NCI-CCRSF
MH38	Sample_RW16	SureSelect_XT_Human_All_Exon_V5_plus_UTR	ILLUMINA	C4VR0ACXX.5	NCI-CCRSF
